#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
11	LZTR1_AD	LZTR1	8216	AD	0.0084	0.7652	0.5085	1.0000	0.4728	0.4951	0.0000	0.5085	0.5085	1.0000	0	Noonan syndrome (ORPHA:648): Nephrocalcinosis (HP:0000121)-Dilatation of the renal pelvis (HP:0010946), Premature birth (HP:0001622)-Thickened nuchal skin fold (HP:0000474), Skeletal muscle atrophy (HP:0003202)-Aplasia/Hypoplasia of the abdominal wall musculature (HP:0010318), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-decreased body weight (MP:0001262), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Rhabdomyosarcoma (HP:0002859)-decreased cardiac muscle contractility (MP:0005140), Skeletal muscle atrophy (HP:0003202)-increased myocardial fiber size (MP:0004564), Short stature (HP:0004322)-decreased cranium height (MP:0008525), 		Proximity to TBX1 associated with 22q11.2 deletion syndrome (ORPHA:567): Nephrocalcinosis (HP:0000121)-Multiple renal cysts (HP:0005562), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Failure to thrive (HP:0001508), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Skeletal muscle atrophy (HP:0003202)-Optic atrophy (HP:0000648), Short stature (HP:0004322)-Short stature (HP:0004322), 	Proximity to TBX1 Rhabdomyosarcoma (HP:0002859)-vascular smooth muscle hypoplasia (MP:0003814), Skeletal muscle atrophy (HP:0003202)-vascular smooth muscle hypoplasia (MP:0003814), Short stature (HP:0004322)-vascular smooth muscle hypoplasia (MP:0003814), 	Proximity to TBX1 Failure to thrive (HP:0001508)-cell population proliferation decreased rate, abnormal (ZP:0005207), Rhabdomyosarcoma (HP:0002859)-ventral intermandibularis anterior absent, abnormal (ZP:0104520), Skeletal muscle atrophy (HP:0003202)-smooth muscle bulbus arteriosus morphology, abnormal (ZP:0005220), 
12	MUC4_AD	MUC4	4585	AD	0.0090	0.7582	0.5048	1.0000	0.0000	0.4261	0.0000	0.5048	0.5048	1.0000	0		Failure to thrive (HP:0001508)-decreased body weight (MP:0001262), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Skeletal muscle atrophy (HP:0003202)-decreased body weight (MP:0001262), Short stature (HP:0004322)-decreased body weight (MP:0001262), 		Proximity to GALNT3 associated with Tumoral calcinosis, hyperphosphatemic, familial, 1 (OMIM:211900): Nephrocalcinosis (HP:0000121)-Nephrocalcinosis (HP:0000121), Skeletal muscle atrophy (HP:0003202)-Calcinosis (HP:0003761), 	Proximity to GALNT3 Nephrocalcinosis (HP:0000121)-nephrocalcinosis (MP:0003197), Rhabdomyosarcoma (HP:0002859)-calcified muscle (MP:0003199), Skeletal muscle atrophy (HP:0003202)-calcified muscle (MP:0003199), 	
13	HLA-A_AD	HLA-A	3105	AD	0.0095	0.7545	0.5029	1.0000	0.0000	0.2736	0.0000	0.5029	0.5029	1.0000	0		Nephrocalcinosis (HP:0000121)-abnormal urinary bladder morphology (MP:0000538), 		Proximity to SEC24C associated with 22q11.2 deletion syndrome (ORPHA:567): Nephrocalcinosis (HP:0000121)-Multiple renal cysts (HP:0005562), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Failure to thrive (HP:0001508), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Skeletal muscle atrophy (HP:0003202)-Optic atrophy (HP:0000648), Short stature (HP:0004322)-Short stature (HP:0004322), 		Proximity to SEC24C Short stature (HP:0004322)-whole organism decreased length, abnormal (ZP:0000473), 
13	HLA-A_AR	HLA-A	3105	AR	0.0095	0.7545	0.5029	1.0000	0.0000	0.2736	0.0000	0.5029	0.5029	1.0000	0		Nephrocalcinosis (HP:0000121)-abnormal urinary bladder morphology (MP:0000538), 		Proximity to SEC24C associated with 22q11.2 deletion syndrome (ORPHA:567): Nephrocalcinosis (HP:0000121)-Multiple renal cysts (HP:0005562), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Failure to thrive (HP:0001508), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Skeletal muscle atrophy (HP:0003202)-Optic atrophy (HP:0000648), Short stature (HP:0004322)-Short stature (HP:0004322), 		Proximity to SEC24C Short stature (HP:0004322)-whole organism decreased length, abnormal (ZP:0000473), 
15	NOMO3_AR	NOMO3	408050	AR	0.0100	0.7516	0.5014	1.0000	0.0000	0.0000	0.0000	0.5014	0.5014	1.0000	0				Proximity to ABCC6 associated with Generalized arterial calcification of infancy (ORPHA:51608): Nephrocalcinosis (HP:0000121)-Nephrocalcinosis (HP:0000121), Failure to thrive (HP:0001508)-Failure to thrive in infancy (HP:0001531), Small for gestational age (HP:0001518)-Failure to thrive in infancy (HP:0001531), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), 	Proximity to ABCC6 Nephrocalcinosis (HP:0000121)-nephrocalcinosis (MP:0003197), 	Proximity to ABCC6 Short stature (HP:0004322)-whole organism decreased size, abnormal (ZP:0000324), 
16	CACNB1_AD	CACNB1	782	AD	0.0100	0.7513	0.5014	0.9998	0.0000	0.3336	0.3153	0.5014	0.5014	1.0000	0		Rhabdomyosarcoma (HP:0002859)-abnormal muscle physiology (MP:0002106), Skeletal muscle atrophy (HP:0003202)-abnormal skeletal muscle fiber morphology (MP:0003084), 	Rhabdomyosarcoma (HP:0002859)-sarcomere skeletal muscle decreased length, abnormal (ZP:0007127), Skeletal muscle atrophy (HP:0003202)-vertical myoseptum increased distribution, abnormal (ZP:0137917), 	Proximity to CAMK2B associated with Intellectual developmental disorder, autosomal dominant 54 (OMIM:617799): Nephrocalcinosis (HP:0000121)-Urinary retention (HP:0000016), Failure to thrive (HP:0001508)-Small for gestational age (HP:0001518), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Fetal distress (HP:0025116), Skeletal muscle atrophy (HP:0003202)-Cerebellar atrophy (HP:0001272), Short stature (HP:0004322)-Short stature (HP:0004322), 	Proximity to CAMK2B Failure to thrive (HP:0001508)-slow postnatal weight gain (MP:0008489), Small for gestational age (HP:0001518)-slow postnatal weight gain (MP:0008489), Premature birth (HP:0001622)-impaired balance (MP:0001525), Skeletal muscle atrophy (HP:0003202)-decreased body size (MP:0001265), Short stature (HP:0004322)-slow postnatal weight gain (MP:0008489), 	
17	TAS2R43_AR	TAS2R43	259289	AR	0.0101	0.7509	0.5010	1.0000	0.0000	0.0000	0.0000	0.5010	0.5010	1.0000	0				Proximity to OXGR1 associated with Nephrolithiasis, calcium oxalate, 2, with nephrocalcinosis (OMIM:620374): Nephrocalcinosis (HP:0000121)-Nephrocalcinosis (HP:0000121), 	Proximity to OXGR1 Nephrocalcinosis (HP:0000121)-decreased urine pH (MP:0009350), 	
18	FLG_AD	FLG	2312	AD	0.0103	0.7498	0.5005	1.0000	0.2872	0.3109	0.0000	0.5005	0.5005	1.0000	0	Recessive X-linked ichthyosis (ORPHA:461): Nephrocalcinosis (HP:0000121)-Cryptorchidism (HP:0000028), Premature birth (HP:0001622)-Desquamation of skin soon after birth (HP:0007549), 	Skeletal muscle atrophy (HP:0003202)-decreased body size (MP:0001265), Short stature (HP:0004322)-decreased body size (MP:0001265), 		Proximity to ABCA12 associated with Ichthyosis, congenital, autosomal recessive 4B (harlequin) (OMIM:242500): Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Failure to thrive (HP:0001508), Premature birth (HP:0001622)-Premature birth (HP:0001622), 	Proximity to ABCA12 Failure to thrive (HP:0001508)-decreased fetal weight (MP:0009431), Small for gestational age (HP:0001518)-decreased fetal weight (MP:0009431), Premature birth (HP:0001622)-decreased fetal weight (MP:0009431), Skeletal muscle atrophy (HP:0003202)-decreased fetal weight (MP:0009431), Short stature (HP:0004322)-decreased fetal weight (MP:0009431), 	
19	HRNR_AD	HRNR	388697	AD	0.0105	0.7493	0.5002	1.0000	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to GALK1 associated with Galactokinase deficiency (ORPHA:79237): Nephrocalcinosis (HP:0000121)-Increased level of galactitol in urine (HP:0410062), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Premature birth (HP:0001622), 		
19	HRNR_AR	HRNR	388697	AR	0.0105	0.7493	0.5002	1.0000	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to GALK1 associated with Galactokinase deficiency (ORPHA:79237): Nephrocalcinosis (HP:0000121)-Increased level of galactitol in urine (HP:0410062), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Premature birth (HP:0001622), 		
19	SOCS5_AD	SOCS5	9655	AD	0.0105	0.7493	0.5002	1.0000	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to IFNG associated with TSC2 angiomyolipomas, renal, modifier of (OMIM:613254): Nephrocalcinosis (HP:0000121)-Renal cyst (HP:0000107), Premature birth (HP:0001622)-Precocious puberty (HP:0000826), Rhabdomyosarcoma (HP:0002859)-Cardiac rhabdomyoma (HP:0009729), 	Proximity to IFNG Nephrocalcinosis (HP:0000121)-glomerulonephritis (MP:0002743), Failure to thrive (HP:0001508)-impaired skeletal muscle regeneration (MP:0013239), Small for gestational age (HP:0001518)-impaired skeletal muscle regeneration (MP:0013239), Premature birth (HP:0001622)-increased fear-related response (MP:0003459), Rhabdomyosarcoma (HP:0002859)-skeletal muscle fibrosis (MP:0009419), Skeletal muscle atrophy (HP:0003202)-skeletal muscle fibrosis (MP:0009419), Short stature (HP:0004322)-impaired skeletal muscle regeneration (MP:0013239), 	Proximity to IFNG Failure to thrive (HP:0001508)-endothelial cell increased rate cell population proliferation, abnormal (ZP:0011956), 
22	ITPKB_AR	ITPKB	3707	AR	0.0105	0.7492	0.5002	1.0000	0.0000	0.4618	0.0000	0.5002	0.5002	1.0000	0		Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-postnatal growth retardation (MP:0001732), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 		Proximity to PIK3C2A associated with Oculoskeletodental syndrome (OMIM:618440): Nephrocalcinosis (HP:0000121)-Renal agenesis (HP:0000104), Failure to thrive (HP:0001508)-Small for gestational age (HP:0001518), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Cryptorchidism (HP:0000028), Skeletal muscle atrophy (HP:0003202)-Macroglossia (HP:0000158), Short stature (HP:0004322)-Short stature (HP:0004322), 	Proximity to PIK3C2A Nephrocalcinosis (HP:0000121)-abnormal kidney morphology (MP:0002135), Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Skeletal muscle atrophy (HP:0003202)-decreased body size (MP:0001265), Short stature (HP:0004322)-decreased body size (MP:0001265), 	
23	MTCH2_AD	MTCH2	23788	AD	0.0106	0.7490	0.5001	1.0000	0.0000	0.2580	0.0000	0.5001	0.5001	1.0000	0		Skeletal muscle atrophy (HP:0003202)-decreased embryo size (MP:0001698), Short stature (HP:0004322)-decreased embryo size (MP:0001698), 		Proximity to SEC24C associated with 22q11.2 deletion syndrome (ORPHA:567): Nephrocalcinosis (HP:0000121)-Multiple renal cysts (HP:0005562), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Failure to thrive (HP:0001508), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Skeletal muscle atrophy (HP:0003202)-Optic atrophy (HP:0000648), Short stature (HP:0004322)-Short stature (HP:0004322), 		Proximity to SEC24C Short stature (HP:0004322)-whole organism decreased length, abnormal (ZP:0000473), 
23	THUMPD3_AD	THUMPD3	25917	AD	0.0106	0.7490	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to TRMT10A associated with Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome (ORPHA:391408): Failure to thrive (HP:0001508)-Decreased body weight (HP:0004325), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Delayed puberty (HP:0000823), Short stature (HP:0004322)-Proportionate short stature (HP:0003508), 	Proximity to TRMT10A Failure to thrive (HP:0001508)-decreased body weight (MP:0001262), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Skeletal muscle atrophy (HP:0003202)-decreased body weight (MP:0001262), Short stature (HP:0004322)-decreased body weight (MP:0001262), 	
23	OR8U1_AD	OR8U1	219417	AD	0.0106	0.7490	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MEFV associated with Familial Mediterranean fever (ORPHA:342): Nephrocalcinosis (HP:0000121)-Nephrocalcinosis (HP:0000121), Premature birth (HP:0001622)-Orchitis (HP:0100796), 	Proximity to MEFV Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Skeletal muscle atrophy (HP:0003202)-decreased body size (MP:0001265), Short stature (HP:0004322)-decreased body size (MP:0001265), 	
23	OR8U1_AR	OR8U1	219417	AR	0.0106	0.7490	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MEFV associated with Familial Mediterranean fever (ORPHA:342): Nephrocalcinosis (HP:0000121)-Nephrocalcinosis (HP:0000121), Premature birth (HP:0001622)-Orchitis (HP:0100796), 	Proximity to MEFV Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Skeletal muscle atrophy (HP:0003202)-decreased body size (MP:0001265), Short stature (HP:0004322)-decreased body size (MP:0001265), 	
23	OR2T2_AD	OR2T2	401992	AD	0.0106	0.7490	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MEFV associated with Familial Mediterranean fever (ORPHA:342): Nephrocalcinosis (HP:0000121)-Nephrocalcinosis (HP:0000121), Premature birth (HP:0001622)-Orchitis (HP:0100796), 	Proximity to MEFV Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Skeletal muscle atrophy (HP:0003202)-decreased body size (MP:0001265), Short stature (HP:0004322)-decreased body size (MP:0001265), 	
23	OR2T35_AR	OR2T35	403244	AR	0.0106	0.7490	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MEFV associated with Familial Mediterranean fever (ORPHA:342): Nephrocalcinosis (HP:0000121)-Nephrocalcinosis (HP:0000121), Premature birth (HP:0001622)-Orchitis (HP:0100796), 	Proximity to MEFV Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Skeletal muscle atrophy (HP:0003202)-decreased body size (MP:0001265), Short stature (HP:0004322)-decreased body size (MP:0001265), 	
29	PCDHA4_AD	PCDHA4	56144	AD	0.0106	0.7489	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to CRIPTO associated with Microform holoprosencephaly (ORPHA:280200): Nephrocalcinosis (HP:0000121)-Renal agenesis (HP:0000104), Premature birth (HP:0001622)-Premature birth (HP:0001622), Skeletal muscle atrophy (HP:0003202)-EMG: myopathic abnormalities (HP:0003458), Short stature (HP:0004322)-Short stature (HP:0004322), 	Proximity to TDGF1 Skeletal muscle atrophy (HP:0003202)-decreased forebrain size (MP:0012138), Short stature (HP:0004322)-decreased forebrain size (MP:0012138), 	
